year,month,province,count,TMAX,TMIN,PPT,TAVG,WS,SOIL,Population,dengue_rate,CCA_1,GPP,GPPperCapita
2017,12,Bangkok,937.0,30.73454545,22.35333333,23.55212121,26.54393939,2.274121212,190.4690909,5682415.0,16.489467946286922,10,5071734,0.8925314324983303
2017,1,Buri Ram,13.0,31.09461538,19.71009615,8.750673077,25.402355765,2.075951923,75.70894231,1588207.0,0.8185331005341243,31,85388,0.053763772606467544
2017,2,Buri Ram,11.0,33.58076923,19.2675,13.64548077,26.424134615,1.998201923,56.32346154,1588052.0,0.6926725321337085,31,85388,0.05376902015803009
2017,3,Buri Ram,5.0,34.98048077,22.88173077,79.55538462,28.93110577,1.466692308,45.23105769,1588369.0,0.31478831430228116,31,85388,0.053758289163286364
2017,4,Buri Ram,25.0,35.28692308,23.74096154,89.10990385,29.51394231,1.692413462,37.85221154,1588996.0,1.5733205118200424,31,85388,0.05373707674531591
2017,5,Buri Ram,68.0,33.72490385,24.29134615,253.7961538,29.008125,1.046778846,131.7344231,1589714.0,4.277498971513115,31,85388,0.053712806202876745
2017,6,Buri Ram,133.0,33.35259615,24.17567308,188.9924038,28.764134615,1.564230769,171.8439423,1589733.0,8.366184761843655,31,85388,0.05371216424393278
2017,7,Buri Ram,144.0,31.65519231,24.195,254.5347115,27.925096155,2.057855769,248.9351923,1590009.0,9.056552510080131,31,85388,0.0537028406757446
2017,8,Buri Ram,112.0,32.56519231,24.16625,203.2239423,28.365721155000003,1.140173077,254.9350962,1590405.0,7.0422313813148225,31,85388,0.053689469034616966
2017,9,Buri Ram,59.0,32.46067308,24.14884615,231.51,28.304759615,1.100278846,256.1510577,1590698.0,3.7090635683203224,31,85388,0.053679579656226384
2017,10,Buri Ram,36.0,31.26384615,23.09932692,153.0236538,27.181586535,1.262923077,256.1183654,1591157.0,2.262504580000591,31,85388,0.05366409474363623
2017,11,Buri Ram,15.0,30.68442308,21.25403846,30.97038462,25.96923077,2.1935,199.0250962,1591593.0,0.9424519962075731,31,85388,0.05364939403478151
2017,12,Buri Ram,4.0,29.49980769,18.47490385,6.551153846,23.98735577,2.674096154,136.7338462,1591905.0,0.25127127561003954,31,85388,0.05363887920447514
2017,1,Chachoengsao,20.0,31.31891892,22.49826255,44.93745174,26.908590735,1.616486486,169.0133205,704860.0,2.8374428964617087,24,342925,0.48651505263456574
2017,2,Chachoengsao,5.0,32.73532819,21.52895753,23.99362934,27.13214286,1.520772201,125.0625483,705325.0,0.7088930634813738,24,342925,0.48619430758870025
2017,3,Chachoengsao,4.0,33.53938224,23.89459459,104.015444,28.716988415000003,1.268667954,109.2337838,705731.0,0.5667881955022522,24,342925,0.48591460485652466
2017,4,Chachoengsao,16.0,33.95791506,24.81061776,67.76138996,29.38426641,1.269498069,83.10135135,706055.0,2.266112413338904,24,342925,0.4856916245901523
2017,5,Chachoengsao,19.0,32.55617761,24.8476834,389.9799228,28.701930505,0.899671815,289.2671815,706738.0,2.6884078682623547,24,342925,0.4852222464336147
2017,6,Chachoengsao,45.0,32.48745174,24.82702703,220.6235521,28.657239385,1.25480695,298.4277992,707206.0,6.363068186638688,24,342925,0.4849011462006827
2017,7,Chachoengsao,82.0,31.60810811,24.97471042,163.9596525,28.291409265,1.66457529,298.669305,707615.0,11.588222409078384,24,342925,0.48462087434551276
2017,8,Chachoengsao,66.0,32.07432432,24.97162162,250.680888,28.52297297,1.102799228,298.9218147,708003.0,9.32199439832882,24,342925,0.484355292279835
2017,9,Chachoengsao,80.0,32.33185328,24.69555985,299.2316602,28.513706565,0.97469112,298.9281853,708526.0,11.291046482415606,24,342925,0.48399776437279646
2017,10,Chachoengsao,43.0,31.6507722,24.08301158,207.6671815,27.86689189,1.080482625,298.9281853,708956.0,6.065256518034969,24,342925,0.48370420731328884
2017,11,Chachoengsao,31.0,31.14034749,23.12876448,49.04749035,27.134555985,1.45042471,258.6160232,709686.0,4.3681290035311395,24,342925,0.4832066575922309
2017,12,Chachoengsao,33.0,30.42953668,21.09594595,18.45135135,25.762741315,2.002181467,200.4127413,709889.0,4.648614079102508,24,342925,0.4830684797200689
2017,1,Chai Nat,5.0,31.94427083,21.93125,15.31979167,26.937760415,1.236666667,146.5854167,330300.0,1.5137753557372087,18,31876,0.09650620647895852
2017,2,Chai Nat,4.0,34.20104167,20.9265625,10.93854167,27.563802085,1.241822917,100.8677083,330210.0,1.2113503528057903,18,31876,0.09653250961509342
2017,3,Chai Nat,6.0,35.36666667,24.22604167,66.76822917,29.79635417,1.228802083,76.66979167,330170.0,1.8172456613259835,18,31876,0.09654420450071176
2017,4,Chai Nat,11.0,36.17083333,25.18072917,50.57552083,30.67578125,1.262083333,57.72239583,330129.0,3.3320308121976563,18,31876,0.09655619469964771
2017,5,Chai Nat,9.0,33.90989583,24.7109375,262.6588542,29.310416665,0.77984375,168.4713542,330162.0,2.7259345412252167,18,31876,0.09654654381788334
2017,6,Chai Nat,36.0,33.628125,24.21979167,150.0979167,28.923958335,1.00984375,179.7359375,330010.0,10.90876034059574,18,31876,0.09659101239356384
2017,7,Chai Nat,50.0,32.5171875,24.49322917,105.4473958,28.505208335,1.15484375,184.4546875,329932.0,15.154637925390686,18,31876,0.09661384770195071
2017,8,Chai Nat,23.0,32.66145833,24.48854167,178.3848958,28.575000000000003,0.812864583,227.4166667,329894.0,6.97193644018988,18,31876,0.09662497650760547
2017,9,Chai Nat,19.0,32.946875,24.33489583,264.5005208,28.640885415,0.859375,277.4890625,329875.0,5.759757483895415,18,31876,0.09663054187192119
2017,10,Chai Nat,16.0,32.1296875,24.26510417,225.421875,28.197395835,0.737708333,277.5848958,329895.0,4.850028039224601,18,31876,0.09662468361145213
2017,11,Chai Nat,13.0,31.36354167,23.28645833,35.68489583,27.325,1.056822917,229.5838542,329892.0,3.940683617668813,18,31876,0.09662556230523929
2017,12,Chai Nat,4.0,30.4390625,20.6640625,24.43958333,25.5515625,1.573697917,180.9885417,329722.0,1.213143193356828,18,31876,0.09667538107860561
2017,1,Chaiyaphum,19.0,30.26862745,18.48812636,10.1711329,24.378376905,1.685043573,66.37200436,1138285.0,1.6691777542531088,36,63158,0.05548522558058834
2017,2,Chaiyaphum,4.0,32.62788671,17.86623094,12.5543573,25.247058825,1.765457516,48.57102397,1137876.0,0.3515321528883639,36,63158,0.05550516928030822
2017,3,Chaiyaphum,12.0,34.41405229,21.58562092,97.64662309,27.999836605,1.365250545,39.35511983,1137733.0,1.0547290093545674,36,63158,0.05551214564401314
2017,4,Chaiyaphum,8.0,34.47352941,22.68986928,86.2453159,28.581699345,1.697254902,32.72636166,1138187.0,0.7028721993837568,36,63158,0.05549000296084914
2017,5,Chaiyaphum,30.0,32.79989107,23.42995643,237.0116558,28.114923750000003,1.224814815,111.6066449,1138979.0,2.6339379391542774,36,63158,0.055451417453701954
2017,6,Chaiyaphum,94.0,32.36263617,23.58736383,180.1716776,27.975,1.523769063,141.9164488,1138986.0,8.252954821218172,36,63158,0.0554510766594146
2017,7,Chaiyaphum,92.0,30.57244009,23.48801743,161.1683007,27.03022876,1.683986928,174.8527233,1138787.0,8.078771534975372,36,63158,0.05546076658760594
2017,8,Chaiyaphum,60.0,31.48126362,23.55827887,195.4005447,27.519771245,1.246056645,202.0762527,1138620.0,5.269536807714602,36,63158,0.05546890095027314
2017,9,Chaiyaphum,30.0,31.66655773,23.38779956,239.2874728,27.527178645,1.097472767,216.4840959,1138597.0,2.6348216269672236,36,63158,0.05547002143866531
2017,10,Chaiyaphum,23.0,30.47396514,22.01296296,187.4659041,26.24346405,1.100152505,216.5389978,1138769.0,2.01972480810419,36,63158,0.05546164323054105
2017,11,Chaiyaphum,12.0,30.06383442,20.11459695,16.24880174,25.089215685,1.588943355,155.7867102,1139375.0,1.0532089961601756,36,63158,0.05543214481623697
2017,12,Chaiyaphum,2.0,28.70141612,17.00827887,14.75446623,22.854847495,2.117461874,108.7175381,1139356.0,0.175537759927538,36,63158,0.05543306920751723
2017,1,Chanthaburi,9.0,30.70859031,21.73303965,76.09449339,26.22081498,2.088370044,190.3832599,532557.0,1.6899599479492335,22,131137,0.24624030854913184
2017,2,Chanthaburi,16.0,32.15903084,20.74096916,39.79933921,26.45,1.866806167,149.4193833,532619.0,3.004023513994056,22,131137,0.24621164472164905
2017,3,Chanthaburi,12.0,32.53678414,23.05594714,153.8264317,27.79636564,1.450396476,156.2226872,532727.0,2.252560880150621,22,131137,0.24616173011692669
