CCA_1,ID_1,ADM1_EN,LATITUDE,LONGITIDE,Month,Year,Population
37.0,1.0,Amnat Charoen,15.85851,104.62883,11,2015,376362.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,12,2015,376382.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,1,2016,376399.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,2,2016,376338.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,3,2016,376397.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,4,2016,376484.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,5,2016,376457.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,6,2016,376474.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,7,2016,376537.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,8,2016,376581.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,9,2016,376711.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,10,2016,376856.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,11,2016,377080.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,12,2016,377120.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,1,2017,377157.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,2,2017,377220.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,3,2017,377252.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,4,2017,377477.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,5,2017,377649.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,6,2017,377691.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,7,2017,377680.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,8,2017,377671.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,9,2017,377774.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,10,2017,377862.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,11,2017,378066.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,12,2017,378107.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,1,2018,378124.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,2,2018,378110.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,3,2018,378095.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,4,2018,378234.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,5,2018,378307.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,6,2018,378319.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,7,2018,378316.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,8,2018,378539.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,9,2018,378583.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,10,2018,378631.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,11,2018,378600.0
