year,month,province,tmax
2008,1,Ang Thong,31.92031746
2008,2,Ang Thong,31.7547619
2008,3,Ang Thong,34.40333333
2008,4,Ang Thong,35.17460317
2008,5,Ang Thong,32.81793651
2008,6,Ang Thong,32.97555556
2008,7,Ang Thong,32.33666667
2008,8,Ang Thong,32.2847619
2008,9,Ang Thong,31.35730159
2008,10,Ang Thong,31.65952381
2008,11,Ang Thong,30.11126984
2008,12,Ang Thong,29.44238095
2009,1,Ang Thong,30.18174603
2009,2,Ang Thong,34.54555556
2009,3,Ang Thong,34.52492063
2009,4,Ang Thong,35.49079365
2009,5,Ang Thong,33.46333333
2009,6,Ang Thong,33.05936508
2009,7,Ang Thong,32.04238095
2009,8,Ang Thong,33.03936508
2009,9,Ang Thong,31.9568254
2009,10,Ang Thong,31.79634921
2009,11,Ang Thong,31.50063492
2009,12,Ang Thong,31.64031746
2010,1,Ang Thong,31.72730159
2010,2,Ang Thong,34.53238095
2010,3,Ang Thong,35.5568254
2010,4,Ang Thong,37.34666667
2010,5,Ang Thong,36.28285714
2010,6,Ang Thong,34.95396825
2010,7,Ang Thong,33.14285714
2010,8,Ang Thong,31.83936508
2010,9,Ang Thong,31.90920635
2010,10,Ang Thong,30.55904762
2010,11,Ang Thong,31.25539683
2010,12,Ang Thong,30.79555556
2011,1,Ang Thong,30.87460317
2011,2,Ang Thong,33.45428571
2011,3,Ang Thong,32.43587302
2011,4,Ang Thong,34.22031746
2011,5,Ang Thong,33.65492063
2011,6,Ang Thong,32.74380952
2011,7,Ang Thong,32.25047619
2011,8,Ang Thong,31.84
2011,9,Ang Thong,31.15730159
2011,10,Ang Thong,31.28079365
2011,11,Ang Thong,32.25634921
2011,12,Ang Thong,29.78936508
2012,1,Ang Thong,31.89031746
2012,2,Ang Thong,34.04
2012,3,Ang Thong,35.42492063
2012,4,Ang Thong,36.29904762
2012,5,Ang Thong,34.3184127
2012,6,Ang Thong,33.09936508
2012,7,Ang Thong,32.33555556
2012,8,Ang Thong,32.28460317
2012,9,Ang Thong,31.34126984
2012,10,Ang Thong,32.37492063
2012,11,Ang Thong,32.44206349
2012,12,Ang Thong,32.34031746
2013,1,Ang Thong,32.00587302
2013,2,Ang Thong,34.52365079
2013,3,Ang Thong,35.31761905
2013,4,Ang Thong,36.66952381
2013,5,Ang Thong,35.59492063
2013,6,Ang Thong,33.1447619
2013,7,Ang Thong,32.02888889
2013,8,Ang Thong,32.53968254
2013,9,Ang Thong,31.33571429
2013,10,Ang Thong,31.36015873
2013,11,Ang Thong,31.82634921
2013,12,Ang Thong,28.52936508
2014,1,Ang Thong,30.48190476
2014,2,Ang Thong,33.41873016
2014,3,Ang Thong,35.31111111
2014,4,Ang Thong,36.39984127
2014,5,Ang Thong,35.77301587
2014,6,Ang Thong,33.97555556
2014,7,Ang Thong,33.05730159
2014,8,Ang Thong,32.51507937
2014,9,Ang Thong,32.18650794
2014,10,Ang Thong,31.9747619
2014,11,Ang Thong,32.71952381
2014,12,Ang Thong,30.88952381
2015,1,Ang Thong,30.99825397
2015,2,Ang Thong,33.53444444
2015,3,Ang Thong,35.29507937
2015,4,Ang Thong,36.15396825
2015,5,Ang Thong,36.65952381
2015,6,Ang Thong,35.40126984
2015,7,Ang Thong,33.7615873
2015,8,Ang Thong,33.20920635
2015,9,Ang Thong,32.3352381
2015,10,Ang Thong,31.98206349
2015,11,Ang Thong,33.25777778
2015,12,Ang Thong,31.9968254
2016,1,Ang Thong,32.24920635
2016,2,Ang Thong,33.34126984
2016,3,Ang Thong,36.10952381
2016,4,Ang Thong,38.77460317
2016,5,Ang Thong,36.55873016
2016,6,Ang Thong,33.68730159
2016,7,Ang Thong,33.50952381
2016,8,Ang Thong,32.38412698
2016,9,Ang Thong,32.31746032
2016,10,Ang Thong,31.95396825
2016,11,Ang Thong,32.64285714
2016,12,Ang Thong,31.02063492
2017,1,Ang Thong,31.77142857
2017,2,Ang Thong,33.87777778
2017,3,Ang Thong,35.07301587
2017,4,Ang Thong,35.63174603
2017,5,Ang Thong,33.96984127
2017,6,Ang Thong,33.68571429
2017,7,Ang Thong,32.61746032
2017,8,Ang Thong,32.80793651
2017,9,Ang Thong,32.9015873
2017,10,Ang Thong,31.83650794
2017,11,Ang Thong,31.24603175
2017,12,Ang Thong,30.23492063
2018,1,Ang Thong,31.76190476
2018,2,Ang Thong,32.44444444
2018,3,Ang Thong,34.47301587
2018,4,Ang Thong,34.67460317
2018,5,Ang Thong,34.2031746
2018,6,Ang Thong,33.38730159
2018,7,Ang Thong,32.24285714
2018,8,Ang Thong,31.64444444
2018,9,Ang Thong,32.28730159
2018,10,Ang Thong,32.7968254
2018,11,Ang Thong,32.83968254
2018,12,Ang Thong,32.32063492
2019,1,Ang Thong,33.88412698
2019,2,Ang Thong,35.47777778
2019,3,Ang Thong,36.17142857
2019,4,Ang Thong,37.35079365
2019,5,Ang Thong,36.0031746
2019,6,Ang Thong,34.48412698
2019,7,Ang Thong,34.18730159
2019,8,Ang Thong,32.32698413
2019,9,Ang Thong,32.34444444
2019,10,Ang Thong,33.75714286
2019,11,Ang Thong,33.28571429
2019,12,Ang Thong,31.8968254
2020,1,Ang Thong,34.26825397
2020,2,Ang Thong,34.75079365
2020,3,Ang Thong,35.82857143
2020,4,Ang Thong,36.8031746
2020,5,Ang Thong,36.33650794
2020,6,Ang Thong,34.46349206
2020,7,Ang Thong,33.97460317
2020,8,Ang Thong,32.91904762
2020,9,Ang Thong,32.72063492
2020,10,Ang Thong,30.46825397
2020,11,Ang Thong,31.68253968
2020,12,Ang Thong,30.94444444
2021,1,Ang Thong,30.57142857
2021,2,Ang Thong,33.75238095
2021,3,Ang Thong,36.04285714
2021,4,Ang Thong,34.71587302
2021,5,Ang Thong,35.32539683
2021,6,Ang Thong,35.03809524
2021,7,Ang Thong,33.01428571
2021,8,Ang Thong,32.98888889
2021,9,Ang Thong,31.50952381
2021,10,Ang Thong,31.75555556
2021,11,Ang Thong,31.8031746
2021,12,Ang Thong,30.2031746
2022,1,Ang Thong,32.37142857
2022,2,Ang Thong,33.12539683
2022,3,Ang Thong,34.93333333
2022,4,Ang Thong,35.46507937
2022,5,Ang Thong,33.58730159
2022,6,Ang Thong,34.45555556
2022,7,Ang Thong,33.24761905
2022,8,Ang Thong,32.13492063
2022,9,Ang Thong,31.56031746
2022,10,Ang Thong,31.42222222
2022,11,Ang Thong,32.22698413
2022,12,Ang Thong,30.13809524
2003,1,Bangkok,31.76090909
2003,2,Bangkok,33.53824242
2003,3,Bangkok,33.42690909
2003,4,Bangkok,35.85363636
2003,5,Bangkok,34.99127273
2003,6,Bangkok,34.08484848
2003,7,Bangkok,32.62854545
2003,8,Bangkok,33.21084848
2003,9,Bangkok,32.27751515
2003,10,Bangkok,32.34521212
2003,11,Bangkok,33.71369697
2003,12,Bangkok,31.72018182
2004,1,Bangkok,32.64193939
2004,2,Bangkok,32.03472727
2004,3,Bangkok,34.8850303
2004,4,Bangkok,36.47727273
2004,5,Bangkok,34.30478788
2004,6,Bangkok,33.31333333
2004,7,Bangkok,33.23090909
2004,8,Bangkok,32.83218182
2004,9,Bangkok,32.44248485
2004,10,Bangkok,32.24048485
2004,11,Bangkok,33.23084848
2004,12,Bangkok,32.0649697
2005,1,Bangkok,31.94333333
2005,2,Bangkok,34.37030303
2005,3,Bangkok,34.02006061
2005,4,Bangkok,35.33945455
2005,5,Bangkok,35.48187879
2005,6,Bangkok,33.84812121
2005,7,Bangkok,33.06775758
2005,8,Bangkok,33.22333333
2005,9,Bangkok,32.20490909
2005,10,Bangkok,32.34806061
2005,11,Bangkok,31.70563636
2005,12,Bangkok,30.11654545
