year,month,province,ppt
2019,12,Bangkok,1.284242424
2020,1,Bangkok,4.204848485
2020,2,Bangkok,3.898787879
2020,3,Bangkok,30.87757576
2020,4,Bangkok,52.38545455
2020,5,Bangkok,108.4624242
2020,6,Bangkok,133.0169697
2020,7,Bangkok,171.8739394
2020,8,Bangkok,155.4969697
2020,9,Bangkok,275.3127273
2020,10,Bangkok,329.1478788
2020,11,Bangkok,33.51636364
2020,12,Bangkok,4.330909091
2021,1,Bangkok,0.668484848
2021,2,Bangkok,13.18787879
2021,3,Bangkok,24.72
2021,4,Bangkok,205.3321212
2021,5,Bangkok,125.2727273
2021,6,Bangkok,81.30848485
2021,7,Bangkok,195.5375758
2021,8,Bangkok,163.4315152
2021,9,Bangkok,381.2678788
2021,10,Bangkok,255.229697
2021,11,Bangkok,42.7030303
2021,12,Bangkok,9.379393939
2022,1,Bangkok,8.866060606
2022,2,Bangkok,60.69878788
2022,3,Bangkok,81.51272727
2022,4,Bangkok,61.38787879
2022,5,Bangkok,226.7993939
2022,6,Bangkok,83.57272727
2022,7,Bangkok,178.3018182
2022,8,Bangkok,207.8484848
2022,9,Bangkok,349.6763636
2022,10,Bangkok,188.4248485
2022,11,Bangkok,107.4806061
2022,12,Bangkok,1.451515152
2003,1,Bueng Kan,2.077749361
2003,2,Bueng Kan,55.11329923
2003,3,Bueng Kan,100.1785166
2003,4,Bueng Kan,71.20511509
2003,5,Bueng Kan,259.2424552
2003,6,Bueng Kan,441.8828645
2003,7,Bueng Kan,416.4877238
2003,8,Bueng Kan,502.3217391
2003,9,Bueng Kan,534.970844
2003,10,Bueng Kan,31.03554987
2003,11,Bueng Kan,0.206649616
2003,12,Bueng Kan,0.0
2004,1,Bueng Kan,6.183375959
2004,2,Bueng Kan,81.56368286
2004,3,Bueng Kan,33.74143223
2004,4,Bueng Kan,132.2161125
2004,5,Bueng Kan,392.6283887
2004,6,Bueng Kan,375.0734015
2004,7,Bueng Kan,788.1974425
2004,8,Bueng Kan,522.1547315
2004,9,Bueng Kan,329.598977
2004,10,Bueng Kan,4.086445013
2004,11,Bueng Kan,4.261892583
2004,12,Bueng Kan,0.0
2005,1,Bueng Kan,0.203069054
2005,2,Bueng Kan,2.920971867
2005,3,Bueng Kan,37.96521739
2005,4,Bueng Kan,71.8859335
2005,5,Bueng Kan,326.0526854
2005,6,Bueng Kan,511.9631714
2005,7,Bueng Kan,691.3217391
2005,8,Bueng Kan,583.4304348
2005,9,Bueng Kan,524.7762148
2005,10,Bueng Kan,22.33682864
2005,11,Bueng Kan,39.11508951
2005,12,Bueng Kan,2.164705882
2006,1,Bueng Kan,0.0
2006,2,Bueng Kan,15.76445013
2006,3,Bueng Kan,109.455243
2006,4,Bueng Kan,154.3094629
2006,5,Bueng Kan,271.313555
2006,6,Bueng Kan,280.8335038
2006,7,Bueng Kan,732.6836317
2006,8,Bueng Kan,533.4746803
2006,9,Bueng Kan,144.1964194
2006,10,Bueng Kan,202.7716113
2006,11,Bueng Kan,28.8488491
