year,month,province,vpd
2003,7,Lamphun,0.9385520361990952
2003,8,Lamphun,0.8161990950226244
2003,9,Lamphun,0.8200452488687784
2003,10,Lamphun,0.8699095022624435
2003,11,Lamphun,1.0823529411764707
2003,12,Lamphun,0.9514932126696832
2003,1,Loei,1.1111324376199616
2003,2,Loei,1.5538579654510558
2003,3,Loei,1.659692898272553
2003,4,Loei,1.827024952015355
2003,5,Loei,1.3823992322456815
2003,6,Loei,1.0673320537428024
2003,7,Loei,0.9864491362763916
2003,8,Loei,0.9106142034548944
2003,9,Loei,0.8179654510556622
2003,10,Loei,0.9257581573896352
2003,11,Loei,1.1800767754318615
2003,12,Loei,1.0416890595009598
2003,1,Lop Buri,1.3219182389937107
2003,2,Lop Buri,1.7088993710691829
2003,3,Lop Buri,1.7587106918238993
2003,4,Lop Buri,1.9489308176100628
2003,5,Lop Buri,1.4859748427672956
2003,6,Lop Buri,1.265503144654088
2003,7,Lop Buri,1.0745283018867926
2003,8,Lop Buri,1.0049685534591195
2003,9,Lop Buri,0.8413522012578617
2003,10,Lop Buri,0.9795597484276728
2003,11,Lop Buri,1.420503144654088
2003,12,Lop Buri,1.362264150943396
2003,1,Mae Hong Son,0.883296354992076
2003,2,Mae Hong Son,1.4686687797147386
2003,3,Mae Hong Son,1.825229793977813
2003,4,Mae Hong Son,2.127147385103011
2003,5,Mae Hong Son,1.32662440570523
2003,6,Mae Hong Son,0.8609825673534073
2003,7,Mae Hong Son,0.8177812995245641
2003,8,Mae Hong Son,0.752662440570523
2003,9,Mae Hong Son,0.7569889064976228
2003,10,Mae Hong Son,0.8171632329635499
2003,11,Mae Hong Son,1.0334231378763867
2003,12,Mae Hong Son,0.9244532488114106
2003,1,Maha Sarakham,1.3081985294117648
2003,2,Maha Sarakham,1.6725
2003,3,Maha Sarakham,1.7997426470588236
2003,4,Maha Sarakham,2.024779411764706
2003,5,Maha Sarakham,1.5852573529411764
2003,6,Maha Sarakham,1.2630882352941175
2003,7,Maha Sarakham,1.143823529411765
2003,8,Maha Sarakham,1.009669117647059
2003,9,Maha Sarakham,0.8172426470588237
2003,10,Maha Sarakham,1.063933823529412
2003,11,Maha Sarakham,1.3490073529411766
2003,12,Maha Sarakham,1.186985294117647
2003,1,Mukdahan,1.2439303482587063
2003,2,Mukdahan,1.479353233830846
2003,3,Mukdahan,1.7498507462686568
2003,4,Mukdahan,1.880547263681592
2003,5,Mukdahan,1.3687562189054727
2003,6,Mukdahan,0.978358208955224
2003,7,Mukdahan,0.8339303482587065
2003,8,Mukdahan,0.8451243781094527
2003,9,Mukdahan,0.7907960199004976
2003,10,Mukdahan,1.0751243781094528
2003,11,Mukdahan,1.1977114427860698
2003,12,Mukdahan,1.0359701492537314
2003,1,Nakhon Nayok,1.1820754716981132
2003,2,Nakhon Nayok,1.3707547169811325
2003,3,Nakhon Nayok,1.3575471698113208
2003,4,Nakhon Nayok,1.5526415094339625
2003,5,Nakhon Nayok,1.2757547169811323
2003,6,Nakhon Nayok,1.1402830188679245
2003,7,Nakhon Nayok,0.9675471698113208
2003,8,Nakhon Nayok,0.9571698113207548
2003,9,Nakhon Nayok,0.8433962264150944
2003,10,Nakhon Nayok,0.9070754716981132
2003,11,Nakhon Nayok,1.3141509433962266
2003,12,Nakhon Nayok,1.25311320754717
2003,1,Nakhon Pathom,1.2939215686274512
2003,2,Nakhon Pathom,1.4736274509803922
2003,3,Nakhon Pathom,1.5264705882352942
2003,4,Nakhon Pathom,1.7517647058823531
2003,5,Nakhon Pathom,1.444019607843137
2003,6,Nakhon Pathom,1.330686274509804
2003,7,Nakhon Pathom,1.1629411764705884
2003,8,Nakhon Pathom,1.1910784313725489
2003,9,Nakhon Pathom,0.9725490196078432
2003,10,Nakhon Pathom,0.9468627450980392
2003,11,Nakhon Pathom,1.3823529411764706
2003,12,Nakhon Pathom,1.3605882352941177
2003,1,Nakhon Phanom,1.1578985507246375
2003,2,Nakhon Phanom,1.2815942028985507
2003,3,Nakhon Phanom,1.496123188405797
2003,4,Nakhon Phanom,1.668731884057971
2003,5,Nakhon Phanom,1.301195652173913
2003,6,Nakhon Phanom,1.0024275362318842
2003,7,Nakhon Phanom,0.8072826086956522
2003,8,Nakhon Phanom,0.8150724637681159
2003,9,Nakhon Phanom,0.7968478260869566
2003,10,Nakhon Phanom,1.0733333333333337
2003,11,Nakhon Phanom,1.194963768115942
2003,12,Nakhon Phanom,0.9943115942028986
2003,1,Nakhon Ratchasima,1.2490764647467727
2003,2,Nakhon Ratchasima,1.6206554121151937
2003,3,Nakhon Ratchasima,1.684309831181728
2003,4,Nakhon Ratchasima,1.7826812313803375
2003,5,Nakhon Ratchasima,1.38948361469712
2003,6,Nakhon Ratchasima,1.2298609731876862
2003,7,Nakhon Ratchasima,1.0581132075471698
2003,8,Nakhon Ratchasima,1.0050943396226415
2003,9,Nakhon Ratchasima,0.8122045680238331
2003,10,Nakhon Ratchasima,0.9137636544190664
2003,11,Nakhon Ratchasima,1.2118172790466732
2003,12,Nakhon Ratchasima,1.1486395233366435
2003,1,Nakhon Sawan,1.3395887445887449
2003,2,Nakhon Sawan,1.7326406926406928
2003,3,Nakhon Sawan,1.830670995670996
2003,4,Nakhon Sawan,2.0706926406926405
2003,5,Nakhon Sawan,1.5201731601731605
2003,6,Nakhon Sawan,1.1974675324675326
2003,7,Nakhon Sawan,1.0792424242424243
2003,8,Nakhon Sawan,0.9782467532467533
2003,9,Nakhon Sawan,0.8115367965367966
2003,10,Nakhon Sawan,0.95504329004329
2003,11,Nakhon Sawan,1.3737229437229437
2003,12,Nakhon Sawan,1.368766233766234
2003,1,Nakhon Si Thammarat,1.0205106382978724
2003,2,Nakhon Si Thammarat,1.1967659574468086
2003,3,Nakhon Si Thammarat,1.3183617021276597
2003,4,Nakhon Si Thammarat,1.2482553191489365
2003,5,Nakhon Si Thammarat,1.0885106382978724
2003,6,Nakhon Si Thammarat,1.0786808510638295
2003,7,Nakhon Si Thammarat,1.0225957446808511
2003,8,Nakhon Si Thammarat,1.0236808510638298
2003,9,Nakhon Si Thammarat,0.925872340425532
2003,10,Nakhon Si Thammarat,0.7491489361702128
2003,11,Nakhon Si Thammarat,0.8682340425531915
2003,12,Nakhon Si Thammarat,0.8441914893617021
2003,1,Nan,0.8797989949748743
2003,2,Nan,1.4020435510887772
2003,3,Nan,1.4633668341708543
2003,4,Nan,1.7245226130653266
2003,5,Nan,1.283718592964824
2003,6,Nan,0.9750251256281408
2003,7,Nan,0.9179061976549414
2003,8,Nan,0.8386934673366834
2003,9,Nan,0.783785594639866
2003,10,Nan,0.9161306532663318
2003,11,Nan,1.1029313232830822
2003,12,Nan,0.9425125628140704
2003,1,Narathiwat,0.6958851674641148
2003,2,Narathiwat,0.808421052631579
2003,3,Narathiwat,0.9379904306220096
2003,4,Narathiwat,0.9641148325358851
2003,5,Narathiwat,0.8934449760765552
2003,6,Narathiwat,0.936267942583732
2003,7,Narathiwat,0.8402392344497608
2003,8,Narathiwat,0.8359808612440192
2003,9,Narathiwat,0.8001913875598087
2003,10,Narathiwat,0.6775598086124403
2003,11,Narathiwat,0.6805741626794258
2003,12,Narathiwat,0.6262200956937799
2003,1,Nong Bua Lam Phu,1.2346969696969696
2003,2,Nong Bua Lam Phu,1.5976262626262627
