year,month,province,tmin
2020,4,Amnat Charoen,23.95138889
2020,5,Amnat Charoen,26.35729167
2020,6,Amnat Charoen,25.25763889
2020,7,Amnat Charoen,25.290625
2020,8,Amnat Charoen,23.98020833
2020,9,Amnat Charoen,24.67951389
2020,10,Amnat Charoen,20.89166667
2020,11,Amnat Charoen,19.87881944
2020,12,Amnat Charoen,16.84722222
2021,1,Amnat Charoen,14.66805556
2021,2,Amnat Charoen,18.30555556
2021,3,Amnat Charoen,23.02673611
2021,4,Amnat Charoen,24.17152778
2021,5,Amnat Charoen,25.49861111
2021,6,Amnat Charoen,24.94618056
2021,7,Amnat Charoen,24.61701389
2021,8,Amnat Charoen,25.00555556
2021,9,Amnat Charoen,23.77326389
2021,10,Amnat Charoen,22.20381944
2021,11,Amnat Charoen,19.834375
2021,12,Amnat Charoen,16.88715278
2022,1,Amnat Charoen,18.06666667
2022,2,Amnat Charoen,17.75729167
2022,3,Amnat Charoen,22.71701389
2022,4,Amnat Charoen,22.15277778
2022,5,Amnat Charoen,22.6875
2022,6,Amnat Charoen,24.96631944
2022,7,Amnat Charoen,24.66736111
2022,8,Amnat Charoen,24.02361111
2022,9,Amnat Charoen,23.79305556
2022,10,Amnat Charoen,21.44166667
2022,11,Amnat Charoen,21.39895833
2022,12,Amnat Charoen,16.92222222
2003,1,Ang Thong,19.62460317
2003,2,Ang Thong,22.19825397
2003,3,Ang Thong,23.22222222
2003,4,Ang Thong,25.41412698
2003,5,Ang Thong,25.33539683
2003,6,Ang Thong,24.56904762
2003,7,Ang Thong,24.78396825
2003,8,Ang Thong,25.09920635
2003,9,Ang Thong,24.48190476
2003,10,Ang Thong,24.63904762
2003,11,Ang Thong,23.21492063
2003,12,Ang Thong,19.59444444
2004,1,Ang Thong,20.28031746
2004,2,Ang Thong,20.89888889
2004,3,Ang Thong,23.80015873
2004,4,Ang Thong,25.38761905
2004,5,Ang Thong,24.8568254
2004,6,Ang Thong,24.26936508
2004,7,Ang Thong,24.57396825
2004,8,Ang Thong,24.9
2004,9,Ang Thong,24.51269841
2004,10,Ang Thong,23.78730159
2004,11,Ang Thong,22.99777778
2004,12,Ang Thong,19.02365079
2005,1,Ang Thong,20.29539683
2005,2,Ang Thong,23.4684127
2005,3,Ang Thong,23.1
2005,4,Ang Thong,25.37015873
2005,5,Ang Thong,25.45666667
2005,6,Ang Thong,25.15444444
2005,7,Ang Thong,24.9131746
2005,8,Ang Thong,24.89825397
2005,9,Ang Thong,24.54222222
2005,10,Ang Thong,24.80809524
2005,11,Ang Thong,23.69222222
2005,12,Ang Thong,20.75015873
2006,1,Ang Thong,19.65349206
2006,2,Ang Thong,22.22920635
2006,3,Ang Thong,23.47666667
2006,4,Ang Thong,24.31428571
2006,5,Ang Thong,23.85619048
2006,6,Ang Thong,23.84777778
2006,7,Ang Thong,24.41301587
2006,8,Ang Thong,24.08571429
2006,9,Ang Thong,23.78190476
2006,10,Ang Thong,24.20904762
2006,11,Ang Thong,23.55095238
2006,12,Ang Thong,19.97793651
2007,1,Ang Thong,19.83190476
2007,2,Ang Thong,20.63269841
2007,3,Ang Thong,23.87603175
2007,4,Ang Thong,24.31063492
2007,5,Ang Thong,23.28142857
2007,6,Ang Thong,24.26285714
2007,7,Ang Thong,23.89920635
2007,8,Ang Thong,24.2147619
2007,9,Ang Thong,24.08206349
2007,10,Ang Thong,24.06285714
2007,11,Ang Thong,21.38634921
2007,12,Ang Thong,21.15634921
2008,1,Ang Thong,19.82428571
2008,2,Ang Thong,20.96968254
2008,3,Ang Thong,22.58333333
2008,4,Ang Thong,24.1552381
2008,5,Ang Thong,23.71301587
2008,6,Ang Thong,23.66936508
2008,7,Ang Thong,23.61444444
2008,8,Ang Thong,23.98460317
2008,9,Ang Thong,23.68206349
2008,10,Ang Thong,24.38761905
2008,11,Ang Thong,22.39222222
2008,12,Ang Thong,19.27952381
2009,1,Ang Thong,17.72460317
2009,2,Ang Thong,21.95238095
2009,3,Ang Thong,22.96142857
2009,4,Ang Thong,24.14111111
2009,5,Ang Thong,23.83619048
2009,6,Ang Thong,24.05380952
2009,7,Ang Thong,24.19079365
2009,8,Ang Thong,24.4631746
2009,9,Ang Thong,24.08206349
2009,10,Ang Thong,24.27936508
2009,11,Ang Thong,22.23047619
2009,12,Ang Thong,20.65650794
2010,1,Ang Thong,21.66619048
2010,2,Ang Thong,23.56777778
2010,3,Ang Thong,23.46174603
2010,4,Ang Thong,25.54650794
2010,5,Ang Thong,25.6052381
2010,6,Ang Thong,24.76936508
2010,7,Ang Thong,24.36984127
2010,8,Ang Thong,23.84063492
2010,9,Ang Thong,24.00571429
2010,10,Ang Thong,24.07936508
2010,11,Ang Thong,22.91492063
2010,12,Ang Thong,21.32761905
2011,1,Ang Thong,19.52761905
2011,2,Ang Thong,21.67412698
2011,3,Ang Thong,21.42539683
2011,4,Ang Thong,23.70063492
2011,5,Ang Thong,24.01968254
2011,6,Ang Thong,24.20809524
2011,7,Ang Thong,23.88349206
2011,8,Ang Thong,24.04111111
2011,9,Ang Thong,24.08206349
2011,10,Ang Thong,24.16349206
2011,11,Ang Thong,23.21555556
2011,12,Ang Thong,20.05079365
2012,1,Ang Thong,21.76492063
