year,month,province,ws
2010,10,Bangkok,1.46969697
2010,11,Bangkok,1.701636364
2010,12,Bangkok,1.550545455
2011,1,Bangkok,1.921939394
2011,2,Bangkok,1.329151515
2011,3,Bangkok,1.723393939
2011,4,Bangkok,1.012545455
2011,5,Bangkok,1.222181818
2011,6,Bangkok,1.712242424
2011,7,Bangkok,1.883757576
2011,8,Bangkok,1.508545455
2011,9,Bangkok,1.788242424
2011,10,Bangkok,1.330606061
2011,11,Bangkok,1.511393939
2011,12,Bangkok,2.269030303
2012,1,Bangkok,1.167939394
2012,2,Bangkok,1.271090909
2012,3,Bangkok,1.191151515
2012,4,Bangkok,1.40969697
2012,5,Bangkok,1.620848485
2012,6,Bangkok,1.969939394
2012,7,Bangkok,1.788484848
2012,8,Bangkok,1.867151515
2012,9,Bangkok,1.270484848
2012,10,Bangkok,1.112848485
2012,11,Bangkok,0.492545455
2012,12,Bangkok,1.082909091
2013,1,Bangkok,1.322242424
2013,2,Bangkok,1.326727273
2013,3,Bangkok,1.400121212
2013,4,Bangkok,1.470242424
2013,5,Bangkok,1.365636364
2013,6,Bangkok,1.12169697
2013,7,Bangkok,1.685090909
2013,8,Bangkok,1.652060606
2013,9,Bangkok,1.46569697
2013,10,Bangkok,1.225212121
2013,11,Bangkok,1.445272727
2013,12,Bangkok,1.821030303
2014,1,Bangkok,1.772060606
2014,2,Bangkok,1.670787879
2014,3,Bangkok,1.403636364
2014,4,Bangkok,1.272545455
2014,5,Bangkok,1.235151515
2014,6,Bangkok,1.728181818
2014,7,Bangkok,1.782969697
2014,8,Bangkok,1.149333333
2014,9,Bangkok,1.370424242
2014,10,Bangkok,1.201939394
2014,11,Bangkok,0.919393939
2014,12,Bangkok,2.084909091
2015,1,Bangkok,1.670424242
2015,2,Bangkok,1.725515152
2015,3,Bangkok,1.490181818
2015,4,Bangkok,1.433393939
2015,5,Bangkok,1.619454545
2015,6,Bangkok,1.442424242
2015,7,Bangkok,2.244121212
2015,8,Bangkok,1.589333333
2015,9,Bangkok,1.677454545
2015,10,Bangkok,1.123939394
2015,11,Bangkok,1.006363636
2015,12,Bangkok,1.304606061
2016,1,Bangkok,1.576242424
2016,2,Bangkok,2.219818182
2016,3,Bangkok,1.769090909
2016,4,Bangkok,2.020727273
2016,5,Bangkok,1.559151515
2016,6,Bangkok,1.369030303
2016,7,Bangkok,1.365090909
2016,8,Bangkok,1.724242424
2016,9,Bangkok,1.332909091
2016,10,Bangkok,1.092909091
2016,11,Bangkok,1.152545455
2016,12,Bangkok,2.188424242
2017,1,Bangkok,1.873151515
2017,2,Bangkok,1.767939394
2017,3,Bangkok,1.396121212
2017,4,Bangkok,1.472
2017,5,Bangkok,1.112242424
2017,6,Bangkok,1.416424242
2017,7,Bangkok,1.761212121
2017,8,Bangkok,1.348363636
2017,9,Bangkok,1.222484848
2017,10,Bangkok,1.261636364
2017,11,Bangkok,1.708727273
2017,12,Bangkok,2.274121212
2018,1,Bangkok,1.020606061
