year,month,province,ws
1978,7,Amnat Charoen,1.354756944
1978,8,Amnat Charoen,0.683506944
1978,9,Amnat Charoen,1.050520833
1978,10,Amnat Charoen,0.812638889
1978,11,Amnat Charoen,2.087708333
1978,12,Amnat Charoen,0.473854167
1979,1,Amnat Charoen,1.195
1979,2,Amnat Charoen,1.470416667
1979,3,Amnat Charoen,1.630034722
1979,4,Amnat Charoen,1.090833333
1979,5,Amnat Charoen,1.5871875
1979,6,Amnat Charoen,1.107256944
1979,7,Amnat Charoen,1.844375
1979,8,Amnat Charoen,2.392222222
1979,9,Amnat Charoen,1.368402778
1979,10,Amnat Charoen,2.3103125
1979,11,Amnat Charoen,2.719305556
1979,12,Amnat Charoen,1.306666667
1980,1,Amnat Charoen,1.437673611
1980,2,Amnat Charoen,1.840590278
1980,3,Amnat Charoen,1.349548611
1980,4,Amnat Charoen,1.911527778
1980,5,Amnat Charoen,1.638229167
1980,6,Amnat Charoen,0.888541667
1980,7,Amnat Charoen,1.512048611
1980,8,Amnat Charoen,1.389930556
1980,9,Amnat Charoen,1.337395833
1980,10,Amnat Charoen,1.228854167
1980,11,Amnat Charoen,1.357222222
1980,12,Amnat Charoen,1.534340278
1981,1,Amnat Charoen,1.643506944
1981,2,Amnat Charoen,1.390104167
1981,3,Amnat Charoen,1.225034722
1981,4,Amnat Charoen,1.019270833
1981,5,Amnat Charoen,1.620034722
1981,6,Amnat Charoen,1.933055556
1981,7,Amnat Charoen,1.719652778
1981,8,Amnat Charoen,2.394027778
1981,9,Amnat Charoen,1.367326389
1981,10,Amnat Charoen,1.9278125
1981,11,Amnat Charoen,1.673020833
1981,12,Amnat Charoen,2.072638889
1982,1,Amnat Charoen,1.448298611
1982,2,Amnat Charoen,1.288055556
1982,3,Amnat Charoen,1.145381944
1982,4,Amnat Charoen,2.174479167
1982,5,Amnat Charoen,1.589652778
1982,6,Amnat Charoen,1.755486111
1982,7,Amnat Charoen,2.288229167
1982,8,Amnat Charoen,2.015347222
1982,9,Amnat Charoen,1.131527778
1982,10,Amnat Charoen,0.753229167
1982,11,Amnat Charoen,0.672326389
1982,12,Amnat Charoen,1.594618056
1983,1,Amnat Charoen,2.060902778
1983,2,Amnat Charoen,0.998854167
1983,3,Amnat Charoen,1.827361111
1983,4,Amnat Charoen,1.594652778
1983,5,Amnat Charoen,1.892152778
1983,6,Amnat Charoen,1.611284722
1983,7,Amnat Charoen,1.423194444
1983,8,Amnat Charoen,1.155625
1983,9,Amnat Charoen,1.079722222
1983,10,Amnat Charoen,1.594097222
1983,11,Amnat Charoen,1.862604167
1983,12,Amnat Charoen,1.846284722
1984,1,Amnat Charoen,2.065138889
1984,2,Amnat Charoen,2.189409722
1984,3,Amnat Charoen,1.829027778
1984,4,Amnat Charoen,1.202361111
1984,5,Amnat Charoen,1.5915625
1984,6,Amnat Charoen,2.432673611
1984,7,Amnat Charoen,1.401840278
1984,8,Amnat Charoen,1.908298611
1984,9,Amnat Charoen,1.015520833
1984,10,Amnat Charoen,1.203784722
1984,11,Amnat Charoen,1.352430556
1984,12,Amnat Charoen,1.468229167
1985,1,Amnat Charoen,1.5303125
1985,2,Amnat Charoen,0.602118056
1985,3,Amnat Charoen,2.355243056
1985,4,Amnat Charoen,1.591354167
1985,5,Amnat Charoen,1.235590278
1985,6,Amnat Charoen,2.722708333
1985,7,Amnat Charoen,1.316319444
1985,8,Amnat Charoen,2.532430556
1985,9,Amnat Charoen,1.610625
1985,10,Amnat Charoen,1.236944444
1985,11,Amnat Charoen,1.130277778
1985,12,Amnat Charoen,1.567326389
1986,1,Amnat Charoen,1.957534722
1986,2,Amnat Charoen,2.030763889
1986,3,Amnat Charoen,2.185069444
1986,4,Amnat Charoen,0.8628125
1986,5,Amnat Charoen,1.9040625
1986,6,Amnat Charoen,1.841666667
1986,7,Amnat Charoen,1.899930556
1986,8,Amnat Charoen,1.177604167
1986,9,Amnat Charoen,1.583611111
1986,10,Amnat Charoen,1.461944444
1986,11,Amnat Charoen,1.731284722
1986,12,Amnat Charoen,1.248020833
1987,1,Amnat Charoen,1.8346875
1987,2,Amnat Charoen,1.291354167
1987,3,Amnat Charoen,1.352708333
